Customer ID,Recency,Frequency,Monetary,Customer Name,Segment,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
AA-10315,9,19,13747.413,Alex Avila,Consumer,5,3,4,12,Loyal Customers
AA-10375,7,23,5884.195,Allen Armold,Consumer,5,4,3,12,Loyal Customers
AA-10480,126,20,17695.58978,Andrew Allen,Consumer,1,3,5,9,At Risk
AA-10645,29,36,15343.8907,Anna Andreadi,Consumer,3,5,5,13,Loyal Customers
AA-315,3,7,2243.256,Alex Avila,Consumer,5,2,2,9,Potential Loyalists
AA-375,254,8,654.492,Allen Armold,Consumer,1,2,1,4,Lost
AA-480,315,5,2063.493,Andrew Allen,Consumer,1,1,2,4,Lost
AA-645,52,11,1968.324,Anna Andreadi,Consumer,2,3,2,7,At Risk
AB-10015,17,32,20037.4975,Aaron Bergman,Consumer,4,5,5,14,Champions
AB-10060,43,32,18416.5504,Adam Bellavance,Home Office,3,5,5,13,Loyal Customers
AB-10105,28,33,22966.78,Adrian Barton,Consumer,3,5,5,13,Loyal Customers
AB-10150,36,24,13057.294600000001,Aimee Bixby,Consumer,3,4,4,11,Loyal Customers
AB-10165,14,29,11649.265,Alan Barnes,Consumer,4,5,4,13,Champions
AB-10255,6,31,10786.7164,Alejandro Ballentine,Home Office,5,5,4,14,Champions
AB-105,44,7,2156.4,Adrian Barton,Consumer,3,2,2,7,Potential Loyalists
AB-10600,51,22,13318.6631,Ann Blume,Corporate,2,3,4,9,At Risk
AB-15,413,5,4607.13,Aaron Bergman,Consumer,1,1,3,5,Cant Lose Them
AB-150,399,4,3143.88,Aimee Bixby,Consumer,1,1,2,4,Lost
AB-165,17,6,1399.776,Alan Barnes,Consumer,4,1,2,7,Potential Loyalists
AB-255,44,8,4679.502,Alejandro Ballentine,Home Office,3,2,3,8,Potential Loyalists
AB-60,36,9,1770.2279999999998,Adam Bellavance,Home Office,3,3,2,8,Others
AB-600,8,5,5408.55,Ann Blume,Corporate,5,1,3,9,Potential Loyalists
AC-10420,7,24,10607.6947,Alyssa Crouse,Corporate,5,4,4,13,Champions
AC-10450,6,19,16126.3904,Amy Cox,Consumer,5,3,5,13,Loyal Customers
AC-10615,7,29,12729.72448,Ann Chong,Corporate,5,5,4,14,Champions
AC-10660,3,21,6255.61908,Anna Chung,Consumer,5,3,3,11,Loyal Customers
AC-420,14,9,1689.675,Alyssa Crouse,Corporate,4,3,2,9,Others
AC-450,182,7,1026.597,Amy Cox,Consumer,1,2,1,4,Lost
AC-615,93,7,2298.432,Ann Chong,Corporate,2,2,2,6,Lost
AC-660,120,4,2676.09,Anna Chung,Consumer,2,1,2,5,Lost
AD-10180,30,27,17858.5048,Alan Dominguez,Home Office,3,4,5,12,Loyal Customers
AD-180,6,3,681.288,Alan Dominguez,Home Office,5,1,1,7,Potential Loyalists
AF-10870,7,36,26487.2585,Art Ferguson,Consumer,5,5,5,15,Champions
AF-10885,54,35,19711.16728,Art Foster,Consumer,2,5,5,12,At Risk
AF-870,6,9,1700.082,Art Ferguson,Consumer,5,3,2,10,Others
AF-885,168,2,354.99,Art Foster,Consumer,1,1,1,3,Lost
AG-10270,41,25,10637.40422,Alejandro Grove,Consumer,3,4,4,11,Loyal Customers
AG-10300,3,24,13013.8762,Aleksandra Gannaway,Corporate,5,4,4,13,Champions
AG-10330,9,29,14534.50618,Alex Grayson,Consumer,5,5,5,15,Champions
AG-10390,115,19,8453.0096,Allen Goldenen,Consumer,2,3,3,8,At Risk
